,Location URL,Stone Refernced,Minerals Recorded,Location Name,Rock Types,Climate,Decimal Coordinates,Minerals,Latitude,Longitude,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,F,Fe,Ga,Gd,Ge,H,Hf,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pr,Pt,Rb,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr,Group_Label
10,https://www.mindat.org//loc-250161.html,Amazonite Aquamarine Beryl Aquamarine Kyanite Lapis Lazuli Smoky Quartz Smoky Quartz Unakite,,", Spruce Pine, Spruce Pine Mining District, Mitchell Co., North Carolina, USA,i,McKinney Mine (Power Mill Creek Mine),Mine, Spruce Pine, Spruce Pine Mining District,Mining District, Mitchell Co.,County, North Carolina,State, USA,Country,",,2,"35.91667,-82.06667",Al B Be C Ca Cd Ce Cl Cu F Fe H K Mg Mn Na Nb O P Pb S Si Ta Th Ti U W Y Zn Zr,46.96177,14.95181,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,4
11,https://www.mindat.org//loc-8991.html,Amethyst Apatite Lapis Lazuli Amethyst Spinel Unakite,,", Thanh Son District, Phú Thọ Province, Vietnam,i,Thạch Khoán, Thanh Son District,District, Phú Thọ Province,Province, Vietnam,Country,",,3,"21.18306,105.25000",Al B Be F Fe H K Mg O Si Ti,35.91667,-81.93333,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12,https://www.mindat.org//loc-56146.html,Amethyst Lapis Lazuli Amethyst Unakite,,", Eggenburg, Waldviertel, Lower Austria, Austria,i,Cemetery, Eggenburg, Waldviertel, Lower Austria,State, Austria,Country,",,2,"48.64833,15.82083",Valid Species O Si,21.18306,105.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,https://www.mindat.org//loc-232658.html,Amethyst Lapis Lazuli Amethyst Unakite,,", Krimml, Zell am See District, Salzburg, Austria,i,Roßkopf, Krimml,Municipality, Zell am See District,District, Salzburg,State, Austria,Country,",,1,"47.15161,12.13835",Valid Species O Si,47.15161,12.13835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,https://www.mindat.org//loc-28541.html,Amethyst Lapis Lazuli Amethyst Unakite,,", Zug, Lech, Bludenz District, Vorarlberg, Austria,i,Gstüat Alp (Gstütt Alp; Gstüt Alp),Mountain, Zug, Lech,Municipality, Bludenz District,District, Vorarlberg,State, Austria,Country,",,4,"47.19417,10.12139",C Ca F Fe H O Pb S Si Zn,47.19417,10.12139,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,https://www.mindat.org//loc-214763.html,Amethyst Lapis Lazuli Opal Amethyst Unakite,,", Passo Fundo, Rio Grande do Sul, Brazil,i,Bela Vista, Passo Fundo,Municipality, Rio Grande do Sul,State, Brazil,Country,",,5,"-28.18444,-52.54742",O Si,-27.81556,-51.45258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,https://www.mindat.org//loc-212912.html,Amethyst Lapis Lazuli Amethyst Smoky Quartz Smoky Quartz Unakite,,", Kings Co., Nova Scotia, Canada,i,Halls Harbour, Kings Co.,County, Nova Scotia,Province, Canada,Country,",,1,"45.20111,-64.61861",Valid Species Al C Ca Fe H K Mg Na O Si,45.20111,-63.38139,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,https://www.mindat.org//loc-272030.html,Amethyst Lapis Lazuli Amethyst Unakite,,", McTavish Township, Thunder Bay District, Ontario, Canada,i,Ontario Gem Mine,Mine, McTavish Township,Township, Thunder Bay District,District, Ontario,Province, Canada,Country,",,1,"48.69472,-88.58361",Ag Ba C Ca Cu F Fe H O Pb S Si Zn,48.69472,-87.41639,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
18,https://www.mindat.org//loc-228736.html,Amethyst Lapis Lazuli Amethyst Unakite,,", Watson Lake, Watson Lake mining district, Yukon, Canada,i,Sa Dena Hes Mine,Mine, Watson Lake,Lake, Watson Lake mining district,Mining District, Yukon,Territory, Canada,Country,",,4,"60.51778,-128.87750",Al C Ca Cu F Fe H Mg O Pb S Si Zn,60.51778,-127.1225,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
19,https://www.mindat.org//loc-122560.html,Amethyst Lapis Lazuli Amethyst Smoky Quartz Smoky Quartz Unakite,,", Escout, Le Vernet-Chaméane, Puy-de-Dôme, Auvergne-Rhône-Alpes, France,i,Croix Saint-Barthélémy, Escout, Le Vernet-Chaméane,Commune, Puy-de-Dôme,Department, Auvergne-Rhône-Alpes,Region, France,Country,",,2,"45.45333,3.43194",O Si,45.45333,3.43194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
